AN_TBE,SUP_HA,RES_NM_REG
1968,116234,Province du Québec
1969,874054,Province du Québec
1970,2233513,Province du Québec
1971,2247,Saguenay–Lac-Saint-Jean
1971,4201172,Province du Québec
1972,220410,Saguenay–Lac-Saint-Jean
1972,9610537,Province du Québec
1973,410998,Saguenay–Lac-Saint-Jean
1973,10512160,Province du Québec
1974,5692363,Saguenay–Lac-Saint-Jean
1974,31227273,Province du Québec
1975,6186788,Saguenay–Lac-Saint-Jean
1975,35991769,Province du Québec
1976,5218867,Saguenay–Lac-Saint-Jean
1976,33553220,Province du Québec
1977,6144048,Saguenay–Lac-Saint-Jean
1977,32609288,Province du Québec
1978,4734850,Saguenay–Lac-Saint-Jean
1978,22429201,Province du Québec
1979,1745496,Saguenay–Lac-Saint-Jean
1979,13925805,Province du Québec
1980,2067168,Saguenay–Lac-Saint-Jean
1980,15385813,Province du Québec
1981,2232393,Saguenay–Lac-Saint-Jean
1981,17049885,Province du Québec
1982,1115966,Saguenay–Lac-Saint-Jean
1982,9997658,Province du Québec
1983,1860985,Saguenay–Lac-Saint-Jean
1983,13397822,Province du Québec
1984,1805725,Saguenay–Lac-Saint-Jean
1984,11483130,Province du Québec
1985,2044959,Saguenay–Lac-Saint-Jean
1985,9384748,Province du Québec
1986,86723,Saguenay–Lac-Saint-Jean
1986,2871171,Province du Québec
1987,1087719,Province du Québec
1988,720338,Province du Québec
1989,944280,Province du Québec
1990,1323229,Province du Québec
1991,493709,Province du Québec
1992,46549,Province du Québec
1993,484,Province du Québec
1994,2932,Province du Québec
1995,4750,Province du Québec
1996,5283,Province du Québec
1997,5199,Province du Québec
1998,74,Saguenay–Lac-Saint-Jean
1998,10815,Province du Québec
1999,269,Saguenay–Lac-Saint-Jean
1999,23092,Province du Québec
2000,245,Saguenay–Lac-Saint-Jean
2000,10818,Province du Québec
2001,316,Saguenay–Lac-Saint-Jean
2001,19003,Province du Québec
2002,533,Saguenay–Lac-Saint-Jean
2002,4871,Province du Québec
2003,1271,Saguenay–Lac-Saint-Jean
2003,2675,Province du Québec
2004,2346,Saguenay–Lac-Saint-Jean
2004,34021,Province du Québec
2005,1630,Saguenay–Lac-Saint-Jean
2005,49045,Province du Québec
2006,1294,Saguenay–Lac-Saint-Jean
2006,51451,Province du Québec
2007,7031,Saguenay–Lac-Saint-Jean
2007,112049,Province du Québec
2008,18082,Saguenay–Lac-Saint-Jean
2008,134779,Province du Québec
2009,74398,Saguenay–Lac-Saint-Jean
2009,323296,Province du Québec
2010,157343,Saguenay–Lac-Saint-Jean
2010,768344,Province du Québec
2011,247919,Saguenay–Lac-Saint-Jean
2011,1643258,Province du Québec
2012,371327,Saguenay–Lac-Saint-Jean
2012,2224937,Province du Québec
2013,470630,Saguenay–Lac-Saint-Jean
2013,3205689,Province du Québec
2014,643384,Saguenay–Lac-Saint-Jean
2014,4274286,Province du Québec
2015,1056145,Saguenay–Lac-Saint-Jean
2015,6314244,Province du Québec
2016,1256515,Saguenay–Lac-Saint-Jean
2016,7016563,Province du Québec
2017,988877,Saguenay–Lac-Saint-Jean
2017,7160256,Province du Québec
2018,1202986,Saguenay–Lac-Saint-Jean
2018,8187717,Province du Québec
2019,1877238,Saguenay–Lac-Saint-Jean
2019,9605502,Province du Québec
2020,2990020,Saguenay–Lac-Saint-Jean
2020,13534102,Province du Québec
2021,1930920,Saguenay–Lac-Saint-Jean
2021,12229849,Province du Québec
2022,2204987,Saguenay–Lac-Saint-Jean
2022,9160808,Province du Québec
2023,2330957,Saguenay–Lac-Saint-Jean
2023,10496359,Province du Québec
2024,2964286,Saguenay–Lac-Saint-Jean
2024,14343539,Province du Québec
